"ethnicity","population","year"
"bumi_malay",14322.1,2010
"bumi_other",3354.7,2010
"chinese",6430.4,2010
"indian",1924.9,2010
"other_citizen",232,2010
"other_noncitizen",2324.5,2010
"bumi_malay",14551.3,2011
"bumi_other",3412.9,2011
"chinese",6471.1,2011
"indian",1939.7,2011
"other_citizen",241.9,2011
"other_noncitizen",2445.1,2011
"bumi_malay",14780.3,2012
"bumi_other",3469.6,2012
"chinese",6510.7,2012
"indian",1952.1,2012
"other_citizen",249.1,2012
"other_noncitizen",2548.3,2012
"bumi_malay",15022.2,2013
"bumi_other",3526.9,2013
"chinese",6554.4,2013
"indian",1965.2,2013
"other_citizen",257,2013
"other_noncitizen",2888,2013
"bumi_malay",15285.3,2014
"bumi_other",3581.7,2014
"chinese",6586.2,2014
"indian",1977.7,2014
"other_citizen",265.5,2014
"other_noncitizen",3012.3,2014
"bumi_malay",15548.8,2015
"bumi_other",3634.1,2015
"chinese",6618.8,2015
"indian",1986.4,2015
"other_citizen",272.1,2015
"other_noncitizen",3126.1,2015
"bumi_malay",15796.3,2016
"bumi_other",3688.9,2016
"chinese",6645.7,2016
"indian",1991.6,2016
"other_citizen",280.9,2016
"other_noncitizen",3230,2016
"bumi_malay",16045.1,2017
"bumi_other",3735.9,2017
"chinese",6665.3,2017
"indian",2001.1,2017
"other_citizen",287.7,2017
"other_noncitizen",3287.5,2017
"bumi_malay",16292,2018
"bumi_other",3783.3,2018
"chinese",6682.1,2018
"indian",2008.3,2018
"other_citizen",293.7,2018
"other_noncitizen",3322.7,2018
"bumi_malay",16534.7,2019
"bumi_other",3834.6,2019
"chinese",6698.6,2019
"indian",2014.8,2019
"other_citizen",299.7,2019
"other_noncitizen",3140.4,2019
"bumi_malay",16913,2020
"bumi_other",3736.5,2020
"chinese",6892.4,2020
"indian",1998.8,2020
"other_citizen",215.6,2020
"other_noncitizen",2691.1,2020
"bumi_malay",17248.4,2021
"bumi_other",3654.1,2021
"chinese",6891.7,2021
"indian",2002.6,2021
"other_citizen",220.1,2021
"other_noncitizen",2559.5,2021
"bumi_malay",17422,2022
"bumi_other",3679.8,2022
"chinese",6873.7,2022
"indian",1999.9,2022
"other_citizen",222.8,2022
"other_noncitizen",2500,2022
"bumi_malay",17614.9,2023
"bumi_other",3726.5,2023
"chinese",6866.2,2023
"indian",2002.7,2023
"other_citizen",226.9,2023
"other_noncitizen",2964.8,2023
"bumi_malay",17812.8,2024
"bumi_other",3749.2,2024
"chinese",6857.3,2024
"indian",2005.1,2024
"other_citizen",230.8,2024
"other_noncitizen",3396.9,2024
"bumi_malay",17981.2,2025
"bumi_other",3779.8,2025
"chinese",6849.6,2025
"indian",2006.1,2025
"other_citizen",234.3,2025
"other_noncitizen",3380.7,2025
